t,fl_hip,fl_thigh,fl_crank,fr_hip,fr_thigh,fr_crank,rl_hip,rl_thigh,rl_crank,rr_hip,rr_thigh,rr_crank
9.666666666666667851e-02,-0.000000000000000000e+00,-4.797719338148085690e-03,6.026239439658379049e-02,-0.000000000000000000e+00,2.893864620728459625e-01,4.894572497178945741e-02,0.000000000000000000e+00,-2.893864620728635040e-01,-4.894572497180868509e-02,0.000000000000000000e+00,4.797719338153489353e-03,-6.026239439658056390e-02
9.833333333333334203e-02,-0.000000000000000000e+00,-7.616987227704512774e-03,5.764890796661678585e-02,-0.000000000000000000e+00,2.863843966268007080e-01,4.283901361662089541e-02,0.000000000000000000e+00,-2.863843966268077579e-01,-4.283901361667157015e-02,0.000000000000000000e+00,7.616987227704124196e-03,-5.764890796661073513e-02
1.000000000000000056e-01,-0.000000000000000000e+00,-1.042992624112906719e-02,5.503260416577757802e-02,-0.000000000000000000e+00,2.831557562213866674e-01,3.667109641172237866e-02,0.000000000000000000e+00,-2.831557562213481427e-01,-3.667109641169744028e-02,0.000000000000000000e+00,1.042992624113460269e-02,-5.503260416577005626e-02
1.016666666666666691e-01,-0.000000000000000000e+00,-1.323649679519400477e-02,5.241351996936736979e-02,-0.000000000000000000e+00,2.797003236915809321e-01,3.044730685467744377e-02,0.000000000000000000e+00,-2.797003236916288382e-01,-3.044730685479478741e-02,0.000000000000000000e+00,1.323649679520035385e-02,-5.241351996937159557e-02
1.033333333333333465e-01,-0.000000000000000000e+00,-1.603665934568693913e-02,4.979169243319916255e-02,-0.000000000000000000e+00,2.760183962948398184e-01,2.417318142884852805e-02,0.000000000000000000e+00,-2.760183962948088987e-01,-2.417318142875976572e-02,0.000000000000000000e+00,1.603665934568600585e-02,-4.979169243320223648e-02
1.050000000000000100e-01,-0.000000000000000000e+00,-1.883037439105120225e-02,4.716715869017359952e-02,-0.000000000000000000e+00,2.721107918418552152e-01,1.785445543814157335e-02,0.000000000000000000e+00,-2.721107918418460003e-01,-1.785445543818606554e-02,0.000000000000000000e+00,1.883037439105444966e-02,-4.716715869017681917e-02
1.066666666666666735e-01,-0.000000000000000000e+00,-2.161760247602834140e-02,4.453995594698100663e-02,-0.000000000000000000e+00,2.679788524834909591e-01,1.149705698886016071e-02,0.000000000000000000e+00,-2.679788524835012287e-01,-1.149705698883879412e-02,0.000000000000000000e+00,2.161760247603032592e-02,-4.453995594699156763e-02
1.083333333333333370e-01,-0.000000000000000000e+00,-2.439830419523979221e-02,4.191012148078029215e-02,-0.000000000000000000e+00,2.636244460565611569e-01,5.107099063419235502e-03,0.000000000000000000e+00,-2.636244460565225767e-01,-5.107099063425459690e-03,0.000000000000000000e+00,2.439830419523775912e-02,-4.191012148077333938e-02
1.100000000000000006e-01,-0.000000000000000000e+00,-2.717244019678029601e-02,3.927769263579958259e-02,-0.000000000000000000e+00,2.590499649179131003e-01,-1.309130338536812661e-03,0.000000000000000000e+00,-2.590499649178961694e-01,1.309130338554729536e-03,0.000000000000000000e+00,2.717244019678016070e-02,-3.927769263578919506e-02
1.116666666666666780e-01,-0.000000000000000000e+00,-2.993997118580542238e-02,3.664270682004577145e-02,-0.000000000000000000e+00,2.542583222179669034e-01,-7.745179999531259449e-03,0.000000000000000000e+00,-2.542583222180370695e-01,7.745179999463260023e-03,0.000000000000000000e+00,2.993997118581265965e-02,-3.664270682004500818e-02
1.133333333333333415e-01,-0.000000000000000000e+00,-3.270085792813000325e-02,3.400520150198452912e-02,-0.000000000000000000e+00,2.492529455914867798e-01,-1.419444920068641154e-02,0.000000000000000000e+00,-2.492529455914749004e-01,1.419444920074720493e-02,0.000000000000000000e+00,3.270085792812746361e-02,-3.400520150198174663e-02
1.150000000000000050e-01,-0.000000000000000000e+00,-3.545506125369581041e-02,3.136521420715088909e-02,-0.000000000000000000e+00,2.440377682721842911e-01,-2.065020331125388270e-02,0.000000000000000000e+00,-2.440377682722177366e-01,2.065020331133697942e-02,0.000000000000000000e+00,3.545506125369238953e-02,-3.136521420714531716e-02
1.166666666666666685e-01,-0.000000000000000000e+00,-3.820254206016773790e-02,2.872278251482228081e-02,-0.000000000000000000e+00,2.386172176676507328e-01,-2.710559117337299137e-02,0.000000000000000000e+00,-2.386172176676271683e-01,2.710559117332870388e-02,0.000000000000000000e+00,3.820254206016085452e-02,-2.872278251482695069e-02
1.183333333333333459e-01,-0.000000000000000000e+00,-4.094326131644244332e-02,2.607794405472145874e-02,-0.000000000000000000e+00,2.329962014587958485e-01,-3.355366418499227538e-02,0.000000000000000000e+00,-2.329962014588268238e-01,3.355366418503762105e-02,0.000000000000000000e+00,4.094326131644251965e-02,-2.607794405472112914e-02
1.200000000000000094e-01,-0.000000000000000000e+00,-4.367718006613818121e-02,2.343073650362441709e-02,-0.000000000000000000e+00,2.271800913214422901e-01,-3.998739695137398104e-02,0.000000000000000000e+00,-2.271800913214557238e-01,3.998739695127558752e-02,0.000000000000000000e+00,4.367718006613997839e-02,-2.343073650363721241e-02
1.216666666666666730e-01,-0.000000000000000000e+00,-4.640425943106261247e-02,2.078119758212348261e-02,-0.000000000000000000e+00,2.211747043943639024e-01,-4.639970935296383603e-02,0.000000000000000000e+00,-2.211747043943944890e-01,4.639970935290493176e-02,0.000000000000000000e+00,4.640425943106572804e-02,-2.078119758212158136e-02
1.233333333333333365e-01,-0.000000000000000000e+00,-4.912446061469322861e-02,1.812936505120506248e-02,-0.000000000000000000e+00,2.149862826480752609e-01,-5.278348985615527456e-02,0.000000000000000000e+00,-2.149862826481213907e-01,5.278348985615270716e-02,0.000000000000000000e+00,4.912446061469440822e-02,-1.812936505119860583e-02
1.250000000000000000e-01,-0.000000000000000000e+00,-5.183774490560491555e-02,1.547527670897760541e-02,-0.000000000000000000e+00,2.086214703346627730e-01,-5.913161986741524018e-02,0.000000000000000000e+00,-2.086214703346727095e-01,5.913161986741537202e-02,0.000000000000000000e+00,5.183774490560693476e-02,-1.547527670897386187e-02
1.266666666666666774e-01,-0.000000000000000000e+00,-5.454407368090724573e-02,1.281897038740912806e-02,-0.000000000000000000e+00,2.020872897225507725e-01,-6.543699891737668473e-02,0.000000000000000000e+00,-2.020872897225526321e-01,6.543699891741733277e-02,0.000000000000000000e+00,5.454407368090777308e-02,-1.281897038740688333e-02
1.283333333333333548e-01,-0.000000000000000000e+00,-5.724340840961162497e-02,1.016048394893768157e-02,-0.000000000000000000e+00,1.953911153427230485e-01,-7.169257044476651242e-02,0.000000000000000000e+00,-1.953911153427429215e-01,7.169257044478413721e-02,0.000000000000000000e+00,5.724340840960814858e-02,-1.016048394893199515e-02
1.300000000000000044e-01,-0.000000000000000000e+00,-5.993571065602129599e-02,7.499855283255640881e-03,-0.000000000000000000e+00,1.885406469878952163e-01,-7.789134793777216514e-02,0.000000000000000000e+00,-1.885406469879070956e-01,7.789134793779156629e-02,0.000000000000000000e+00,5.993571065601812492e-02,-7.499855283250563345e-03
1.316666666666666818e-01,-0.000000000000000000e+00,-6.262094208311227983e-02,4.837122303940250695e-03,-0.000000000000000000e+00,1.815438817229083901e-01,-8.402644118377471105e-02,0.000000000000000000e+00,-1.815438817228669233e-01,8.402644118382764094e-02,0.000000000000000000e+00,6.262094208311370924e-02,-4.837122303943782592e-03
1.333333333333333315e-01,-0.000000000000000000e+00,-6.529906445582318864e-02,2.172322945263815974e-03,-0.000000000000000000e+00,1.744090851716864621e-01,-9.009108237477597703e-02,0.000000000000000000e+00,-1.744090851716914858e-01,9.009108237477875258e-02,0.000000000000000000e+00,6.529906445582409069e-02,-2.172322945252896757e-03
1.350000000000000089e-01,-0.000000000000000000e+00,-6.797003964438806667e-02,-4.945048411758143272e-04,-0.000000000000000000e+00,1.671447623533178217e-01,-9.607865181483435379e-02,0.000000000000000000e+00,-1.671447623533068028e-01,9.607865181483311867e-02,0.000000000000000000e+00,6.797003964438927404e-02,4.945048411790884009e-04
1.366666666666666863e-01,-0.000000000000000000e+00,-7.063382962758751882e-02,-3.163323089609994775e-03,-0.000000000000000000e+00,1.597596283388307836e-01,-1.019827029823214964e-01,0.000000000000000000e+00,-1.597596283388142691e-01,1.019827029823470455e-01,0.000000000000000000e+00,7.063382962758710248e-02,3.163323089598942418e-03
1.383333333333333359e-01,-0.000000000000000000e+00,-7.329039649603591444e-02,-5.834093823397709655e-03,-0.000000000000000000e+00,1.522625789985070088e-01,-1.077969867066185805e-01,0.000000000000000000e+00,-1.522625789984876910e-01,1.077969867066535525e-01,0.000000000000000000e+00,7.329039649603724671e-02,5.834093823396056464e-03
